dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,ms_nearest_bucket,ms_bounds_evaluation,ms_distance_calculation,ms_query_preprocessing,%_nearest_bucket,%_bounds_evaluation,%_distance_calculation,%_query_preprocessing
openai-1536-angular,adsampling,2.43215,4.66464,0.755141,0.891201,28,2.1,10,1000,0,1,2.496,6.738,0.7551,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,2.38932,4.61288,0.750112,0.886601,26,2.1,10,1000,0,1,2.472,7.193,0.7501,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,2.00716,3.72932,0.629367,0.880401,24,2.1,10,1000,0,1,2.052,4.933,0.6294,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,1.9804,3.73258,0.674911,0.874901,22,2.1,10,1000,0,1,2.028,5.502,0.6749,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,1.82669,3.38188,0.654343,0.868301,20,2.1,10,1000,0,1,1.869,4.465,0.6543,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,1.72389,3.1105,0.60433,0.859101,18,2.1,10,1000,0,1,1.752,3.758,0.6043,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,1.61619,2.91559,0.589592,0.850801,16,2.1,10,1000,0,1,1.66,4.3,0.5896,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,1.51403,2.68917,0.57226,0.840801,14,2.1,10,1000,0,1,1.542,4.285,0.5723,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,1.37933,2.38403,0.541012,0.828901,12,2.1,10,1000,0,1,1.401,3.702,0.541,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,1.26328,2.10949,0.543065,0.812301,10,2.1,10,1000,0,1,1.3,2.993,0.5431,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,1.19149,2.01155,0.494865,0.790301,8,2.1,10,1000,0,1,1.217,2.905,0.4949,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,1.0113,1.66416,0.484485,0.7637,6,2.1,10,1000,0,1,1.035,2.632,0.4845,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,0.846568,1.29299,0.436667,0.7212,4,2.1,10,1000,0,1,0.8569,1.519,0.4367,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,0.682527,1.02883,0.438089,0.6186,2,2.1,10,1000,0,1,0.6995,1.884,0.4381,0,0,0,0,-nan,-nan,-nan,-nan
